ticker,cash,value,SharpeRatio,DrawDown
ISRG,186973,2510062,0.57,44.94%
NVR,1289996,1289996,0.36,6.35%
DVN,2376034,2376034,0.31,49.18%
MRO,1600977,1600977,0.25,57.18%
TER,176938,2098067,0.38,43.6%
PODD,1782711,1782711,0.31,42.26%
V,143948,1601674,0.32,34.84%
ENPH,29924237,29924237,0.6,58.31%
CDNS,289434,3800742,0.58,46.12%
MSCI,429298,5214356,0.87,25.93%
CHTR,2101846,2101846,0.5,29.58%
AJG,271995,3196104,1.05,22.0%
CF,1393726,1393726,0.23,49.81%
APH,190552,2079010,0.55,23.73%
MSI,197982,2457442,0.53,25.95%
ADM,1686292,1686292,0.41,25.52%
BAC,2376932,2376932,0.52,29.89%
TECH,2710041,2710041,0.63,23.19%
DXC,2003265,2003265,0.33,44.15%
ADBE,3825763,3825763,0.76,20.95%
STLD,539963,5239749,0.85,27.01%
CPRT,357920,4874289,0.94,28.09%
TDG,2364406,2364406,0.55,31.42%
GNRC,4214321,4214321,0.59,29.63%
NOW,2534427,2534427,0.55,34.08%
LLY,3101743,3101743,0.68,24.11%
COST,171421,1953417,0.44,33.52%
ZBRA,2712912,2712912,0.77,33.65%
ACGL,144339,2419992,0.68,18.65%
MPC,302692,3132834,0.57,30.09%
BR,189733,2078174,0.53,25.69%
STX,1422756,1422756,0.22,47.99%
NOC,2260024,2260024,0.59,25.18%
NASDAQ,1039640,1039640,-0.4,4.23%
ABBV,1604527,1604527,0.31,42.7%
INTU,337751,3701933,0.83,20.82%
PAYC,226798,2236411,0.41,43.46%
CMA,2444244,2444244,0.66,21.47%
CAT,133083,1591503,0.27,34.8%
ODFL,369960,4489484,0.7,38.78%
AMZN,230435,2850810,0.54,39.34%
CSGP,248223,2738635,0.62,28.78%
PWR,220744,3192020,0.66,33.31%
BBWI,2730813,2730813,0.38,36.06%
DXCM,203163,2482247,0.51,41.87%
TXN,255822,2430762,0.64,24.28%
VRSK,133667,1486700,0.3,35.35%
OXY,1714475,1714475,0.27,33.17%
FTNT,169806,2277570,0.38,59.42%
DHI,207494,2878317,0.54,33.38%
ADSK,174992,1920078,0.38,36.72%
PYPL,2717851,2717851,0.42,34.55%
MSFT,433026,5716748,1.15,24.64%
ANSS,176391,2253636,0.45,28.02%
CTAS,314406,3872910,1.07,24.63%
BIO,2652496,2652496,0.89,19.3%
CTLT,1520562,1520562,0.25,48.57%
AME,166036,2110509,0.58,18.95%
ACN,225375,2529265,0.58,19.82%
CMG,840384,840384,-0.18,35.41%
SHW,176976,1928608,0.49,22.13%
AMAT,413244,5189803,0.69,44.72%
DE,163068,1689369,0.32,41.82%
AMD,897855,9888254,0.51,55.79%
KLAC,3431754,3431754,0.73,33.41%
URI,3594769,3594769,0.75,30.07%
NXPI,114499,1486798,0.27,34.11%
PNC,2446313,2446313,0.72,21.74%
SEDG,4740464,4740464,0.51,60.32%
MTCH,2656999,2656999,0.5,36.37%
NVDA,62624392,62624392,1.24,29.28%
IDXX,6096865,6096865,1.01,19.69%
HD,190983,2129910,0.47,20.69%
ALB,2790456,2790456,0.48,48.49%
VLO,2594991,2594991,0.66,31.98%
ZTS,243100,2701289,0.59,29.27%
FDX,164914,2157216,0.51,21.47%
TYL,209732,2224806,0.57,22.83%
SCHW,1790967,1790967,0.35,36.27%
AMP,133622,1501625,0.25,36.95%
ROK,168805,2142811,0.46,34.41%
PTC,187758,2301797,0.67,50.29%
NSC,2100729,2100729,0.58,20.44%
ETSY,6235707,6235707,0.5,44.38%
MTD,1950911,1950911,0.62,22.45%
ITW,224029,2365398,0.71,25.69%
SPGI,334402,3729179,0.95,20.49%
EL,2246572,2246572,0.45,28.04%
MCO,243876,2512880,0.62,24.3%
MPWR,1540791,1540791,0.27,60.13%
CBRE,185888,2002463,0.38,27.64%
ETN,194178,2335956,0.65,20.28%
ALGN,583805,6385874,0.68,28.92%
NFLX,3199434,3199434,0.62,34.95%
LEN,153282,2273861,0.52,35.64%
FITB,2254225,2254225,0.47,30.31%
WST,299256,3167479,0.57,31.1%
GWW,1512019,1512019,0.32,45.36%
TRGP,164058,1852820,0.31,36.71%
FICO,283725,2971628,0.68,24.64%
AXON,179544,2481057,0.43,42.58%
JPM,164631,1997174,0.56,20.6%
MRNA,6915887,6915887,0.48,41.15%
TSLA,8591553,8591553,0.42,55.59%
COP,191099,1968426,0.4,32.29%
DHR,2889547,2889547,0.62,25.71%
TXT,1746266,1746266,0.34,33.77%
ROL,165950,2007874,0.45,36.21%
GOOGL,106870,1569602,0.28,32.35%
BRO,254415,2912529,0.72,28.34%
ANET,256258,2923718,0.4,45.97%
DRI,136038,1713745,0.5,33.05%
META,159539,2301614,0.53,34.81%
MMC,194579,2127520,0.52,20.89%
POOL,404348,3832045,0.88,21.17%
CZR,776184,6711342,0.78,32.55%
ORLY,1877320,1877320,0.47,30.21%
SNPS,3545183,3545183,0.62,34.35%
GOOG,135084,1962119,0.39,29.48%
EPAM,2356808,2356808,0.48,29.3%
LYV,189399,2337984,0.49,34.47%
AVGO,2445558,2445558,0.5,48.23%
FSLR,100921,2269849,0.41,49.56%
TEL,180118,1970952,0.46,27.08%
ON,200100,2757320,0.47,48.05%
RSG,220307,2395648,0.64,19.3%
TRMB,1720555,1720555,0.36,36.89%
LW,96377,1601372,0.41,33.86%
MS,239957,2587403,0.62,29.71%
CSX,198232,2037101,0.47,28.67%
ZION,2169247,2169247,0.57,23.61%
RJF,2044892,2044892,0.43,32.04%
UNH,323176,3412234,0.85,20.89%
TTWO,256477,2845257,0.42,39.36%
TT,228839,2555751,0.78,20.13%
TGT,1773569,1773569,0.36,26.7%
AAPL,280388,3456210,0.61,33.81%
GRMN,266692,3058552,0.83,20.46%
BX,208701,2507309,0.4,45.19%
NTAP,202773,2435425,0.53,48.76%
KEYS,238867,2430926,0.52,30.77%
CRL,1583291,1583291,0.29,36.0%
MU,189064,1849057,0.32,50.25%
CDW,196888,1964317,0.35,34.54%
DOV,200385,2035967,0.46,24.5%
CRM,166061,2072845,0.49,29.54%
PGR,2097340,2097340,0.44,28.58%
LRCX,2721817,2721817,0.53,41.72%
BLK,201882,2129794,0.78,23.01%
