ticker,cash,value,SharpeRatio,DrawDown
ISRG,171768,2305943,0.36,44.94%
NVR,1379724,1379724,0.2,17.8%
DVN,2388530,2388530,0.24,49.18%
MRO,2455877,2455877,0.32,57.18%
TER,86796,1029199,0.09,61.88%
PODD,2183327,2183327,0.29,55.88%
V,448715,4992742,0.65,34.84%
ENPH,15288273,15288273,0.45,64.9%
CDNS,325201,4270423,0.45,46.12%
MSCI,436450,5301221,0.55,40.39%
CHTR,4188406,4188406,0.51,29.61%
AJG,358286,4210082,0.76,22.47%
CF,2068355,2068355,0.34,49.84%
APH,266951,2912555,0.51,25.07%
MSI,222695,2764199,0.43,25.95%
ADM,1651385,1651385,0.24,28.27%
BAC,2821780,2821780,0.42,37.93%
TECH,2530671,2530671,0.39,29.56%
DXC,2350690,2350690,0.31,44.15%
ADBE,6367606,6367606,0.67,28.94%
STLD,418347,4059595,0.46,32.65%
CPRT,348857,4750869,0.62,36.24%
TDG,6044963,6044963,0.69,31.42%
GNRC,10283030,10283030,0.62,36.14%
NOW,3494626,3494626,0.53,34.08%
LLY,5375373,5375373,0.68,28.58%
COST,263509,3002805,0.52,33.52%
ZBRA,4744335,4744335,0.76,33.65%
ACGL,319972,5364642,0.96,16.79%
MPC,343212,3552209,0.47,42.69%
BR,436054,4776155,0.63,25.69%
STX,2328371,2328371,0.29,47.99%
NOC,6023490,6023490,0.7,25.61%
NASDAQ,1157258,1157258,0.04,5.88%
ABBV,1826501,1826501,0.33,42.7%
INTU,445977,4888147,0.68,31.14%
PAYC,335048,3303841,0.54,43.46%
CMA,2723830,2723830,0.43,23.27%
CAT,147859,1768208,0.24,34.8%
ODFL,1250970,15180574,0.86,38.78%
AMZN,451280,5582979,0.52,39.34%
CSGP,604511,6669537,0.57,30.97%
PWR,240766,3481552,0.49,33.31%
BBWI,7186815,7186815,0.49,41.48%
DXCM,550017,6720106,0.46,41.87%
TXN,348468,3311058,0.54,28.61%
VRSK,254019,2825295,0.52,35.35%
OXY,1648742,1648742,0.19,33.17%
FTNT,223267,2994627,0.34,59.42%
DHI,399297,5538979,0.57,33.38%
ADSK,246258,2702035,0.4,36.72%
PYPL,2717851,2717851,0.42,34.55%
MSFT,433674,5725300,0.68,28.91%
ANSS,155040,1980857,0.28,30.88%
CTAS,822698,10134155,1.18,24.63%
BIO,2391063,2391063,0.49,23.23%
CTLT,1371007,1371007,0.2,48.57%
AME,258988,3292026,0.54,26.05%
ACN,302706,3397102,0.55,31.36%
CMG,2263483,2263483,0.32,35.41%
SHW,374770,4084077,0.51,29.26%
AMAT,593755,7456787,0.58,44.72%
DE,132273,1370334,0.15,50.91%
AMD,475383,5235489,0.32,58.9%
KLAC,5323296,5323296,0.68,33.41%
