ticker,cash,value,夏普比率,最大回撤
ISRG,198069,2659019,0.46,40.29%
NVR,230011,2767656,0.34,36.51%
DVN,2782091,2782091,0.26,45.98%
MRO,1857308,1857308,0.26,42.96%
TER,127135,1507523,0.18,49.32%
PODD,2448878,2448878,0.31,42.78%
V,378993,4216954,0.58,29.64%
ENPH,14969451,14969451,0.46,65.56%
CDNS,400398,5257879,0.52,32.18%
MSCI,4292927,4292927,0.5,35.13%
CHTR,3738940,3738940,0.45,29.47%
AJG,298132,3503230,0.66,18.67%
CF,1840731,1840731,0.26,37.33%
APH,227651,2532016,0.48,24.27%
MSI,180646,2242258,0.35,29.2%
ADM,2567646,2567646,0.43,25.51%
BAC,2196052,2196052,0.36,32.61%
TECH,1792479,1792479,0.26,32.25%
DXC,4774230,4774230,0.55,32.43%
ADBE,396321,5279448,0.61,32.59%
STLD,410459,4022574,0.49,31.58%
CPRT,299990,4085368,0.54,40.77%
TDG,609265,6792687,0.65,37.57%
GNRC,7376067,7376067,0.51,48.13%
NOW,325782,3380951,0.47,38.75%
LLY,482782,5415487,0.77,25.76%
COST,302352,3445428,0.61,24.74%
ZBRA,3522336,3522336,0.58,36.69%
ACGL,194360,3258637,0.64,21.24%
MPC,291646,3018509,0.44,40.42%
BR,383926,4205196,0.58,25.28%
STX,3175457,3175457,0.39,33.5%
NOC,5523072,5523072,0.69,17.52%
NASDAQ,230358,2554134,0.49,19.04%
ABBV,2266563,2266563,0.49,28.53%
INTU,258731,2835834,0.42,30.87%
PAYC,348602,3437499,0.55,37.37%
CMA,2614072,2614072,0.43,26.11%
CAT,160707,1718687,0.23,39.17%
ODFL,385967,4683729,0.51,37.03%
AMZN,322122,3985110,0.43,32.44%
CSGP,608789,6716733,0.59,25.44%
PWR,184158,2356348,0.35,29.55%
BBWI,3126733,3126733,0.33,39.49%
DXCM,1051418,12846214,0.61,37.64%
TXN,304581,2894053,0.5,24.1%
VRSK,242990,2702625,0.57,25.7%
OXY,1903438,1903438,0.25,31.29%
FTNT,167850,2251331,0.28,51.65%
DHI,319114,4426699,0.54,29.54%
ADSK,178982,1714089,0.24,40.39%
PYPL,2871923,2871923,0.47,26.4%
MSFT,400456,4940403,0.64,26.58%
ANSS,185105,2364977,0.36,31.0%
CTAS,575085,6105802,0.79,29.63%
BIO,3071414,3071414,0.57,18.92%
CTLT,1595736,1595736,0.25,39.24%
AME,182978,2325860,0.36,29.13%
ACN,230449,2354266,0.37,26.78%
CMG,199855,2686463,0.35,33.98%
SHW,414596,4377576,0.55,24.64%
AMAT,715172,7473226,0.61,42.18%
DE,115935,1371850,0.15,38.42%
AMD,353072,3383422,0.31,59.33%
KLAC,232164,2726926,0.4,36.47%
URI,567947,5949043,0.68,40.4%
NXPI,255581,3318774,0.47,38.71%
PNC,2471495,2471495,0.5,26.26%
SEDG,3801494,3801494,0.44,73.28%
MTCH,4229719,4229719,0.47,38.76%
NVDA,4472967,69947292,0.79,38.99%
IDXX,380084,4669934,0.55,38.41%
HD,589167,5492605,0.71,21.01%
