ticker,cash,value,夏普比率,最大回撤
ISRG,208864,2803935,0.48,40.29%
NVR,205885,2477363,0.31,36.51%
DVN,2882582,2882582,0.26,45.98%
MRO,2786368,2786368,0.44,42.96%
TER,164491,1950476,0.26,53.5%
PODD,3031445,3031445,0.37,42.78%
V,334106,3717510,0.53,29.64%
ENPH,14969451,14969451,0.46,65.56%
CDNS,510800,6707641,0.6,32.18%
MSCI,3977886,3977886,0.48,43.31%
CHTR,6211873,6211873,0.62,29.47%
AJG,332019,3901423,0.74,18.67%
CF,2351823,2351823,0.37,37.33%
APH,218725,2432735,0.45,24.27%
MSI,228189,2832393,0.46,29.2%
ADM,2440480,2440480,0.4,25.51%
BAC,2196052,2196052,0.36,32.61%
TECH,2246001,2246001,0.36,32.7%
DXC,4000067,4000067,0.48,32.43%
ADBE,358042,4769530,0.56,32.59%
STLD,419513,4111308,0.5,31.58%
CPRT,361141,4918146,0.62,40.76%
TDG,848112,9455589,0.79,37.57%
GNRC,7435940,7435940,0.51,48.13%
NOW,325782,3380951,0.47,38.75%
LLY,457330,5129985,0.73,25.76%
COST,383327,4368179,0.76,24.74%
ZBRA,3979704,3979704,0.65,36.69%
ACGL,227271,3810417,0.78,21.86%
MPC,291646,3018509,0.44,40.42%
BR,371900,4073464,0.56,25.28%
STX,2841212,2841212,0.36,35.81%
NOC,6405200,6405200,0.77,17.52%
NASDAQ,256753,2846796,0.56,19.04%
ABBV,2266563,2266563,0.49,28.53%
INTU,270904,2969259,0.44,30.87%
PAYC,348602,3437499,0.55,37.37%
CMA,2263791,2263791,0.36,29.33%
CAT,188667,2017709,0.29,39.17%
ODFL,535591,6499416,0.62,37.03%
AMZN,388591,4807424,0.48,32.44%
CSGP,700473,7728286,0.64,26.6%
PWR,176760,2261692,0.33,35.84%
BBWI,4856826,4856826,0.43,39.49%
DXCM,938049,11461078,0.58,37.64%
TXN,344431,3272697,0.56,24.1%
VRSK,252639,2809952,0.59,25.7%
OXY,2475115,2475115,0.35,31.29%
FTNT,303604,4072163,0.39,51.65%
DHI,302518,4196482,0.51,29.54%
ADSK,209482,2006178,0.3,40.39%
PYPL,2871923,2871923,0.47,26.4%
MSFT,364800,4500519,0.59,26.58%
ANSS,217250,2775674,0.42,31.2%
CTAS,742566,7883981,1.03,24.19%
BIO,3290524,3290524,0.61,18.92%
CTLT,1595736,1595736,0.25,39.24%
AME,236582,3007228,0.47,29.13%
ACN,305419,3120160,0.52,27.98%
CMG,343454,4616723,0.53,33.98%
SHW,483538,5105518,0.61,24.64%
AMAT,731380,7642595,0.62,42.18%
DE,131373,1554528,0.21,43.98%
AMD,279127,2674824,0.28,64.32%
KLAC,250371,2940779,0.43,36.47%
URI,761214,7973443,0.79,40.4%
NXPI,230736,2996156,0.43,38.71%
PNC,2391857,2391857,0.47,26.26%
SEDG,3801494,3801494,0.44,73.28%
MTCH,5616572,5616572,0.55,38.76%
NVDA,4218739,65971734,0.78,45.68%
IDXX,449886,5527558,0.62,38.41%
HD,608079,5668912,0.73,21.01%
ALB,2270096,2270096,0.3,51.89%
VLO,4116539,4116539,0.69,36.82%
ZTS,277948,2867616,0.57,28.86%
FDX,211213,2702794,0.4,32.32%
TYL,881363,9349373,0.63,34.89%
SCHW,2406542,2406542,0.31,31.36%
AMP,354225,3980749,0.45,30.97%
ROK,310172,3857909,0.6,26.81%
PTC,242855,2727853,0.41,40.22%
NSC,2202260,2202260,0.46,29.8%
ETSY,2701225,2701225,0.42,48.62%
MTD,3514333,3514333,0.6,30.09%
ITW,347369,3667678,0.82,15.88%
SPGI,539599,6017494,0.87,25.8%
EL,2832766,2832766,0.46,27.83%
MCO,679061,6996995,0.88,24.87%
MPWR,419236,5172569,0.59,50.79%
CBRE,263807,2716410,0.39,36.85%
ETN,252369,3035995,0.5,26.76%
ALGN,780528,5717259,0.48,45.62%
NFLX,1675388,18919061,0.49,48.85%
LEN,186214,2762397,0.33,41.67%
FITB,1721369,1721369,0.25,34.22%
WST,833260,9697128,0.74,23.18%
GWW,149318,1943878,0.32,44.18%
TRGP,551509,6228571,0.56,35.85%
FICO,283330,4160664,0.54,44.91%
AXON,9802056,9802056,0.66,45.63%
JPM,170632,2069970,0.42,29.44%
MRNA,3457944,3457944,0.48,65.82%
TSLA,1046535,10317517,0.35,66.75%
COP,252411,2599974,0.4,41.92%
DHR,2827269,2827269,0.47,25.68%
TXT,2043417,2043417,0.32,41.32%
ROL,196069,2372300,0.37,41.98%
GOOGL,199775,2934098,0.41,21.45%
BRO,263513,3016681,0.52,30.73%
ANET,194604,2220288,0.32,40.56%
DRI,130134,1639371,0.27,45.11%
META,361353,5213119,0.76,23.14%
MMC,362310,3961487,0.67,17.36%
POOL,870193,8923189,0.94,24.93%
CZR,793161,6858140,0.9,25.87%
ORLY,394156,5710976,0.82,27.42%
SNPS,320567,4187726,0.54,32.0%
GOOG,187289,2720398,0.38,22.36%
EPAM,9197667,9197667,0.74,36.49%
LYV,354923,4002129,0.43,25.96%
AVGO,335832,5520031,0.55,45.25%
FSLR,212718,2341627,0.31,42.45%
TEL,259897,3027063,0.47,36.26%
ON,169420,2334557,0.31,46.11%
RSG,217880,2369259,0.43,19.3%
TRMB,2187372,2187372,0.37,30.73%
LW,138887,2290321,0.68,30.87%
MS,3070850,3070850,0.44,25.01%
CSX,232363,2304417,0.37,31.02%
ZION,1163396,1163396,0.08,44.33%
RJF,1922951,1922951,0.3,30.2%
UNH,2958099,2958099,0.56,31.68%
TTWO,410533,5147361,0.46,40.63%
TT,381042,4255608,0.59,21.98%
TGT,2698748,2698748,0.44,30.19%
AAPL,745802,9193169,0.77,27.05%
GRMN,308168,3148291,0.59,25.61%
BX,525524,6313585,0.47,37.22%
NTAP,135408,1550792,0.2,49.69%
KEYS,221588,2255084,0.44,31.47%
CRL,2711333,2711333,0.43,31.18%
MU,789710,7723394,0.44,37.35%
CDW,317568,3168327,0.54,27.12%
DOV,286260,3127436,0.51,21.73%
CRM,154111,1923676,0.33,37.39%
PGR,3753343,3753343,0.63,23.73%
LRCX,563993,5865943,0.64,34.67%
BLK,258980,2732158,0.43,25.73%
