ticker,cash,value,SharpeRatio,DrawDown
002017.XSHE,675545,675545,-0.14,77.02%
600295.XSHG,624177,624177,0.03,74.17%
002271.XSHE,4851179,4851179,0.44,54.78%
300005.XSHE,919252,919252,-0.07,77.7%
300263.XSHE,1315508,1315508,0.17,74.72%
002270.XSHE,486639,486639,-0.17,83.64%
002016.XSHE,31833,333255,-0.43,84.05%
300262.XSHE,1039887,1039887,0.02,69.52%
300004.XSHE,603799,603799,-0.24,65.05%
603595.XSHG,50522,836077,-0.22,55.69%
600169.XSHG,1433932,1433932,0.16,57.76%
600168.XSHG,440520,440520,-0.35,65.89%
002725.XSHE,106060,106060,-1.32,92.83%
002543.XSHE,892681,892681,-0.14,72.73%
300737.XSHE,148361,1284100,0.27,49.13%
601999.XSHG,33781,405255,-0.51,77.72%
603668.XSHG,123497,1233818,0.22,37.84%
002542.XSHE,85559,887797,0.05,78.42%
000623.XSHE,571597,571597,-0.14,64.33%
002724.XSHE,753320,753320,-0.0,53.57%
600936.XSHG,46274,483973,-0.72,55.83%
603669.XSHG,764738,764738,-0.22,48.09%
300736.XSHE,88800,1158994,0.29,35.98%
601998.XSHG,55100,607219,-0.09,73.95%
002379.XSHE,88462,802863,-0.09,51.0%
688560.XSHG,68511,1123078,0.53,36.54%
000018.XSHE,1763844,1763844,0.25,68.66%
601333.XSHG,51964,534608,-0.3,70.11%
601155.XSHG,1374366,1374366,0.21,59.49%
002378.XSHE,467721,467721,-0.37,83.14%
688561.XSHG,101063,1005049,-3.49,5.79%
000019.XSHE,333683,333683,-0.47,80.91%
688707.XSHG,734346,734346,-1.08,26.93%
603053.XSHG,870060,870060,-0.76,19.33%
600535.XSHG,1040723,1040723,0.02,50.4%
002941.XSHE,827739,827739,-1.04,27.42%
600753.XSHG,1232501,1232501,0.14,74.09%
300953.XSHE,935795,935795,-1.31,22.11%
002940.XSHE,1055457,1055457,0.08,42.97%
600207.XSHG,303840,303840,-0.35,86.67%
002085.XSHE,2728346,2728346,0.32,53.92%
600061.XSHG,718648,718648,0.08,75.62%
300097.XSHE,785717,785717,0.04,78.05%
600060.XSHG,75814,869697,-0.01,57.99%
600206.XSHG,199623,199623,-0.81,88.63%
002084.XSHE,391687,391687,-0.21,79.45%
300096.XSHE,1298211,1298211,0.18,76.25%
603506.XSHG,647359,647359,-0.68,40.4%
603996.XSHG,550381,550381,-0.75,44.96%
603507.XSHG,813958,813958,0.08,67.24%
601666.XSHG,1504268,1504268,0.2,54.84%
603997.XSHG,45815,571320,-0.1,56.62%
601890.XSHG,648668,648668,-0.15,87.74%
300988.XSHE,770161,770161,-1.09,32.35%
601727.XSHG,1247100,1247100,0.12,73.19%
600789.XSHG,400245,400245,-0.51,84.86%
603089.XSHG,611722,611722,-0.69,46.65%
600120.XSHG,812167,812167,-0.02,78.76%
600346.XSHG,2384682,2384682,0.29,62.54%
600121.XSHG,525432,525432,0.1,70.54%
300812.XSHE,671637,671637,-1.41,36.79%
300482.XSHE,1107277,1107277,0.15,56.64%
002490.XSHE,304203,304203,-0.68,77.51%
600612.XSHG,40846,405236,-0.48,76.3%
000597.XSHE,30013,394543,-0.45,76.32%
300813.XSHE,34077,293301,-0.82,74.17%
300483.XSHE,324125,324125,-1.36,71.53%
600475.XSHG,486688,486688,-0.45,68.9%
000596.XSHE,168176,1812925,0.26,58.91%
000906.XSHE,1510913,1510913,0.18,61.17%
002491.XSHE,1197053,1197053,0.13,83.21%
688288.XSHG,801342,801342,-0.69,29.77%
600613.XSHG,9985,75815,-1.54,93.81%
603113.XSHG,835969,835969,-0.16,50.02%
000159.XSHE,817017,817017,-0.12,68.27%
002238.XSHE,38932,464910,-0.24,78.18%
