ticker,cash,value,SharpeRatio,DrawDown
ISRG,208115,2793883,0.67,45.98%
NVR,1303783,1303783,0.36,5.79%
DVN,2533961,2533961,0.32,38.9%
MRO,1811526,1811526,0.35,42.0%
TER,172121,2040953,0.37,44.77%
PODD,2122449,2122449,0.39,36.13%
V,147499,1641185,0.34,33.23%
ENPH,14413993,14413993,0.46,51.74%
CDNS,273366,3589742,0.58,40.57%
MSCI,4489827,4489827,0.77,25.62%
CHTR,1999107,1999107,0.45,29.9%
AJG,280249,3293100,1.08,20.78%
CF,1567672,1567672,0.3,44.87%
APH,166005,1811185,0.44,25.33%
MSI,199304,2473855,0.54,25.45%
ADM,1711880,1711880,0.43,25.47%
BAC,2172780,2172780,0.49,29.32%
TECH,2476501,2476501,0.57,22.89%
DXC,2283544,2283544,0.38,42.16%
ADBE,3638815,3638815,0.74,20.69%
STLD,355271,3481719,0.62,35.04%
CPRT,364961,4970174,0.95,28.09%
TDG,2364009,2364009,0.55,30.76%
GNRC,4956177,4956177,0.59,25.62%
NOW,2237547,2237547,0.48,33.45%
LLY,2967810,2967810,0.66,21.35%
COST,186670,2127190,0.5,29.6%
ZBRA,3142251,3142251,0.98,33.65%
ACGL,138119,2315692,0.64,18.24%
MPC,288168,2982513,0.55,32.41%
BR,190960,2091606,0.54,26.33%
STX,1577085,1577085,0.28,42.19%
NOC,2250295,2250295,0.58,24.23%
NASDAQ,1091610,1091610,-0.01,1.7%
ABBV,1952763,1952763,0.44,31.71%
INTU,349255,3828020,0.86,20.82%
PAYC,310815,3064884,0.54,33.23%
CMA,2339511,2339511,0.63,20.45%
CAT,142981,1709871,0.31,32.16%
ODFL,348919,4234143,0.67,39.7%
AMZN,237889,2943026,0.56,37.91%
CSGP,256788,2833124,0.64,26.52%
PWR,212355,3070717,0.65,32.64%
BBWI,1608932,1608932,0.25,32.31%
DXCM,195997,2394687,0.51,42.86%
TXN,255782,2430382,0.64,25.14%
VRSK,147832,1644250,0.38,26.7%
OXY,1358011,1358011,0.2,36.13%
FTNT,161068,2160361,0.35,52.49%
DHI,203448,2822193,0.53,34.97%
ADSK,173822,1907243,0.37,37.28%
PYPL,2672680,2672680,0.45,33.43%
MSFT,454502,6000273,1.22,24.64%
ANSS,206268,2635362,0.56,25.73%
CTAS,311133,3832594,1.05,24.9%
BIO,2785442,2785442,1.04,19.3%
CTLT,1532543,1532543,0.26,45.2%
AME,180702,2296928,0.59,18.98%
ACN,236683,2417956,0.55,19.63%
CMG,811432,811432,-0.21,33.64%
SHW,175396,1911388,0.46,20.29%
AMAT,476257,4976678,0.71,40.12%
DE,150712,1783357,0.36,41.65%
