ticker,cash,value,SharpeRatio,DrawDown
ISRG,201697,2707723,0.45,45.98%
NVR,1297949,1297949,0.15,18.23%
DVN,2197563,2197563,0.22,48.23%
MRO,2410889,2410889,0.31,54.02%
TER,95621,1133838,0.11,58.85%
PODD,2268429,2268429,0.3,56.58%
V,418551,4657113,0.62,33.23%
ENPH,6575394,6575394,0.37,73.2%
CDNS,416884,5474369,0.55,40.57%
MSCI,3987136,3987136,0.47,45.2%
CHTR,4481905,4481905,0.53,29.93%
AJG,406342,4774759,0.87,20.78%
CF,2360799,2360799,0.41,44.9%
APH,236533,2580678,0.45,25.33%
MSI,213879,2654769,0.41,25.61%
ADM,1888146,1888146,0.28,32.04%
BAC,2344362,2344362,0.36,37.68%
TECH,2245785,2245785,0.34,31.18%
DXC,3292957,3292957,0.42,42.16%
ADBE,6150561,6150561,0.66,27.73%
STLD,289113,2833358,0.36,34.45%
CPRT,342193,4660108,0.61,35.81%
TDG,7706101,7706101,0.82,30.76%
GNRC,10531830,10531830,0.62,36.43%
NOW,3138182,3138182,0.49,33.45%
LLY,5245210,5245210,0.68,28.97%
COST,290739,3313095,0.57,29.6%
ZBRA,5121785,5121785,0.84,33.65%
ACGL,301485,5054697,0.9,16.87%
MPC,337486,3492945,0.46,39.75%
BR,424088,4645095,0.62,26.33%
STX,2829489,2829489,0.34,42.19%
NOC,6253098,6253098,0.72,24.66%
NASDAQ,1199558,1199558,0.26,5.88%
ABBV,2203134,2203134,0.44,33.92%
INTU,512006,5611859,0.77,30.95%
PAYC,398780,3932297,0.63,37.8%
CMA,2614416,2614416,0.42,22.82%
CAT,163102,1950499,0.28,33.04%
ODFL,1071674,13004817,0.8,39.7%
AMZN,449450,5560338,0.53,37.91%
CSGP,634903,7004846,0.59,32.14%
PWR,234761,3394717,0.49,32.68%
BBWI,4690065,4690065,0.42,36.27%
DXCM,565701,6911726,0.47,42.86%
TXN,338783,3219033,0.52,28.56%
VRSK,258526,2875426,0.54,26.7%
OXY,1495345,1495345,0.16,29.59%
FTNT,243205,3262041,0.35,52.62%
DHI,381866,5297186,0.56,34.97%
ADSK,191052,2096293,0.3,37.28%
PYPL,2746006,2746006,0.46,33.43%
MSFT,484804,6400321,0.74,26.61%
ANSS,192454,2458866,0.36,25.73%
CTAS,804823,9913963,1.15,24.9%
BIO,2570922,2570922,0.56,21.95%
CTLT,1551987,1551987,0.24,45.21%
AME,281087,3572932,0.55,27.16%
ACN,301054,3075569,0.51,31.36%
CMG,1773881,1773881,0.23,39.0%
SHW,402752,4389017,0.54,26.77%
AMAT,739102,7723285,0.59,40.28%
DE,102921,1217855,0.1,51.82%
AMD,390846,3745408,0.32,56.99%
KLAC,5137330,5137330,0.66,33.6%
URI,6252300,6252300,0.72,43.19%
NXPI,209567,2721276,0.38,56.38%
PNC,2482169,2482169,0.47,26.24%
SEDG,4417130,4417130,0.49,63.46%
MTCH,5147740,5147740,0.56,47.88%
NVDA,60949157,60949157,0.82,29.44%
IDXX,6381697,6381697,0.68,37.18%
HD,542193,5054677,0.62,23.9%
ALB,2611844,2611844,0.34,51.2%
VLO,3187601,3187601,0.47,32.08%
ZTS,317920,3280013,0.59,31.72%
FDX,232074,3035729,0.45,30.11%
TYL,1023713,10859409,0.66,33.03%
SCHW,2317948,2317948,0.3,33.84%
AMP,285168,3204688,0.38,33.27%
ROK,276751,3513069,0.53,38.03%
PTC,222673,2729841,0.45,47.73%
NSC,2196121,2196121,0.4,34.21%
ETSY,5691782,5691782,0.53,44.09%
MTD,3071046,3071046,0.74,27.86%
ITW,341089,3601367,0.67,23.84%
SPGI,652534,7276921,1.07,21.26%
EL,3025563,3025563,0.46,29.08%
MCO,510640,5261595,0.75,33.93%
MPWR,3268991,3268991,0.43,58.0%
CBRE,218363,2352297,0.34,41.96%
ETN,276838,3330354,0.54,28.63%
ALGN,614964,6726699,0.5,37.1%
NFLX,16219648,16219648,0.47,36.74%
LEN,183969,2729091,0.33,34.54%
FITB,1673150,1673150,0.22,38.78%
WST,712229,8288622,0.68,24.58%
GWW,1904022,1904022,0.31,44.57%
TRGP,412050,4653558,0.47,36.71%
FICO,430512,4509016,0.7,26.04%
AXON,572163,7906527,0.65,44.42%
JPM,190989,2316930,0.44,25.54%
MRNA,7471845,7471845,0.49,40.3%
TSLA,30183010,30183010,0.44,69.51%
COP,187418,1930511,0.29,48.23%
DHR,3876588,3876588,0.55,25.09%
TXT,1371695,1371695,0.15,41.4%
ROL,241599,2923174,0.47,40.15%
GOOGL,152818,2244446,0.31,27.24%
BRO,289696,3316417,0.55,28.05%
ANET,182333,2080286,0.3,45.74%
DRI,123225,1552333,0.25,44.67%
META,376160,5426731,0.77,32.61%
MMC,330729,3616184,0.56,22.98%
POOL,836902,8581813,0.96,25.42%
CZR,563930,4876072,0.69,39.81%
ORLY,6424442,6424442,0.77,29.25%
SNPS,4858595,4858595,0.56,32.13%
GOOG,201662,2929165,0.4,26.75%
EPAM,7227960,7227960,0.78,29.3%
LYV,270353,3337287,0.38,31.12%
AVGO,7400077,7400077,0.61,44.25%
FSLR,98543,2216355,0.3,46.54%
TEL,313517,3430678,0.54,25.52%
ON,123970,1708265,0.23,48.05%
RSG,238152,2589700,0.46,29.29%
TRMB,2671534,2671534,0.49,30.25%
LW,105239,1515344,0.37,34.84%
MS,4047822,4047822,0.55,26.14%
CSX,243505,2502344,0.41,29.56%
ZION,1391016,1391016,0.16,36.64%
RJF,1266383,1266383,0.12,33.12%
UNH,544636,5750511,0.86,35.84%
TTWO,291196,3230415,0.35,44.25%
TT,451531,5042853,0.69,25.25%
TGT,2991089,2991089,0.52,25.25%
AAPL,621832,7665041,0.7,32.76%
GRMN,350220,3589992,0.63,29.79%
BX,388263,4664552,0.41,44.9%
NTAP,132745,1520295,0.19,48.46%
KEYS,266830,2715504,0.53,28.2%
CRL,2216926,2216926,0.33,42.7%
MU,523953,5124285,0.37,49.02%
CDW,272390,2717592,0.43,30.88%
DOV,342275,3477610,0.54,21.96%
CRM,169051,2110164,0.34,36.2%
PGR,2959095,2959095,0.46,28.49%
LRCX,4480817,4480817,0.54,41.72%
BLK,236897,2499196,0.41,26.19%
