ticker,cash,value,SharpeRatio,DrawDown
ISRG,201697,2707723,0.45,45.98%
NVR,1588855,1588855,0.32,21.41%
DVN,2600961,2600961,0.25,48.23%
MRO,2410889,2410889,0.31,54.02%
TER,120525,1429145,0.17,59.03%
PODD,2451824,2451824,0.32,56.58%
V,418551,4657113,0.62,33.23%
ENPH,9242080,9242080,0.39,73.2%
CDNS,416884,5474369,0.55,40.57%
MSCI,3472730,3472730,0.42,44.57%
CHTR,5881774,5881774,0.62,29.93%
AJG,406342,4774759,0.87,20.78%
CF,2360799,2360799,0.41,44.9%
APH,236533,2580678,0.45,25.33%
MSI,228416,2835201,0.44,25.61%
ADM,2225370,2225370,0.35,32.04%
BAC,2342264,2342264,0.36,37.68%
TECH,2288999,2288999,0.35,31.15%
DXC,3040809,3040809,0.39,42.16%
ADBE,5742671,5742671,0.63,30.87%
STLD,301988,2959540,0.38,34.45%
CPRT,371389,5057717,0.65,35.81%
TDG,6883691,6883691,0.72,35.51%
GNRC,12915314,12915314,0.62,36.43%
NOW,3886879,3886879,0.55,31.26%
LLY,523177,5404919,0.69,28.97%
COST,301013,3430180,0.59,29.6%
ZBRA,5504939,5504939,0.85,33.65%
ACGL,301485,5054697,0.9,16.87%
MPC,423805,4386335,0.51,39.95%
BR,444318,4866673,0.64,26.33%
STX,2829489,2829489,0.34,42.19%
NOC,6940330,6940330,0.75,24.66%
NASDAQ,1332934,1332934,0.37,7.99%
ABBV,2203134,2203134,0.44,33.92%
INTU,423330,4639924,0.64,30.95%
PAYC,335853,3311781,0.54,42.38%
CMA,2414782,2414782,0.38,28.6%
CAT,163102,1950499,0.28,33.04%
ODFL,943440,11448693,0.78,39.7%
AMZN,449450,5560338,0.53,37.91%
CSGP,634903,7004846,0.59,32.14%
PWR,256148,3703975,0.54,32.68%
BBWI,4690065,4690065,0.42,36.27%
DXCM,624812,7633953,0.49,42.86%
TXN,338783,3219033,0.52,28.56%
VRSK,255146,2837836,0.54,26.7%
OXY,1610441,1610441,0.18,29.59%
FTNT,243205,3262041,0.35,52.62%
DHI,340976,4729963,0.52,34.97%
ADSK,191052,2096293,0.3,37.28%
PYPL,2678768,2678768,0.45,33.43%
MSFT,471239,6221229,0.72,26.61%
ANSS,195662,2499852,0.37,25.73%
CTAS,801755,9876176,1.14,24.9%
BIO,2790697,2790697,0.52,21.96%
CTLT,1551987,1551987,0.24,45.21%
AME,281087,3572932,0.55,27.16%
ACN,301054,3075569,0.51,31.36%
CMG,215410,2187227,0.3,37.76%
SHW,418433,4559899,0.55,26.77%
AMAT,779976,8150404,0.6,40.28%
DE,102921,1217855,0.1,51.82%
AMD,353430,3386858,0.3,60.91%
KLAC,4393626,4393626,0.58,33.6%
URI,6252300,6252300,0.72,43.19%
NXPI,209567,2721276,0.38,56.38%
PNC,2547088,2547088,0.48,26.24%
SEDG,5073178,5073178,0.5,60.66%
MTCH,5378705,5378705,0.56,47.88%
NVDA,81549284,81549284,0.89,30.9%
IDXX,5645301,5645301,0.63,37.18%
HD,576411,5373681,0.65,23.9%
ALB,2611844,2611844,0.34,51.2%
VLO,4011251,4011251,0.59,32.0%
ZTS,317920,3280013,0.59,31.72%
FDX,232074,3035729,0.45,30.11%
TYL,1023713,10859409,0.66,33.03%
SCHW,2345705,2345705,0.3,33.84%
AMP,285168,3204688,0.38,33.27%
ROK,276751,3513069,0.53,38.03%
PTC,222673,2729841,0.45,47.73%
NSC,2196121,2196121,0.4,34.21%
ETSY,5691782,5691782,0.53,44.09%
MTD,4160212,4160212,0.83,27.86%
ITW,341089,3601367,0.67,23.84%
SPGI,652534,7276921,1.07,21.26%
EL,3025563,3025563,0.46,29.08%
MCO,510640,5261595,0.75,33.93%
MPWR,3677259,3677259,0.47,55.69%
CBRE,218363,2352297,0.34,41.96%
ETN,276838,3330354,0.54,28.63%
ALGN,789072,8631159,0.56,39.27%
NFLX,17552748,17552748,0.48,36.74%
LEN,186912,2772752,0.34,34.54%
FITB,1780042,1780042,0.24,38.78%
WST,712229,8288622,0.68,24.58%
GWW,2191187,2191187,0.38,44.57%
TRGP,498587,5630885,0.53,36.71%
FICO,393832,4985895,0.71,28.79%
AXON,572163,7906527,0.65,44.42%
JPM,204210,2477316,0.49,25.54%
MRNA,2909102,2909102,0.38,62.85%
TSLA,17735789,17735789,0.4,69.51%
COP,187418,1930511,0.29,48.23%
DHR,3876588,3876588,0.55,25.09%
TXT,1599117,1599117,0.21,41.56%
ROL,241599,2923174,0.47,40.15%
GOOGL,159879,2348144,0.32,27.24%
BRO,289696,3316417,0.55,28.05%
ANET,181331,2068857,0.3,45.74%
DRI,123225,1552333,0.25,44.67%
META,355203,5124386,0.76,32.61%
MMC,330729,3616184,0.56,22.98%
POOL,921122,9445427,1.02,25.37%
CZR,563930,4876072,0.69,39.81%
ORLY,569756,6060853,0.75,29.25%
SNPS,4858595,4858595,0.56,32.13%
GOOG,210979,3064498,0.41,26.75%
EPAM,9705136,9705136,0.8,29.3%
LYV,242959,2999130,0.35,32.7%
AVGO,7571515,7571515,0.62,44.25%
FSLR,119161,2680085,0.36,46.54%
TEL,313517,3430678,0.54,25.52%
ON,142908,1969229,0.26,48.05%
RSG,230748,2509190,0.44,29.97%
TRMB,2671534,2671534,0.49,30.25%
LW,114891,1654327,0.45,34.84%
MS,3890617,3890617,0.53,26.14%
CSX,243505,2502344,0.41,29.56%
ZION,1450856,1450856,0.18,38.08%
RJF,1496122,1496122,0.18,33.38%
UNH,544636,5750511,0.86,35.84%
TTWO,351349,3897732,0.39,44.25%
TT,451531,5042853,0.69,25.25%
TGT,2807688,2807688,0.48,25.25%
AAPL,621832,7665041,0.7,32.76%
GRMN,347999,3567230,0.63,29.79%
BX,477377,5735158,0.45,44.9%
NTAP,132745,1520295,0.19,48.46%
KEYS,263248,2679054,0.53,28.2%
CRL,2271455,2271455,0.34,42.7%
MU,552934,5407717,0.38,49.02%
CDW,272390,2717592,0.43,30.88%
DOV,342275,3477610,0.54,21.96%
CRM,148215,1850085,0.31,36.2%
PGR,3054643,3054643,0.48,28.49%
LRCX,483846,4400125,0.54,41.72%
BLK,243566,2569551,0.42,26.19%
