ticker,cash,value,sharpeRatio,drawDown,bonusRatio
ISRG,237842,3192967,0.51,33.56,219.3%
NVR,199594,2401662,0.3,36.85,140.17%
PDD,3467233,3467233,0.42,40.78,246.72%
DVN,2922704,2922704,0.28,47.93,192.27%
MRO,2282247,2282247,0.38,41.02,128.22%
TER,181431,2151345,0.29,50.12,115.13%
PODD,2872085,2872085,0.37,43.36,187.21%
V,349511,3888915,0.55,32.42,288.89%
ENPH,49511926,49511926,0.44,53.19,4851.19%
CDNS,473292,6215092,0.58,31.22,521.51%
MSCI,3717832,3717832,0.46,45.83,271.78%
CHTR,5752318,5752318,0.58,35.16,475.23%
AJG,290861,3417794,0.63,23.16,241.78%
CF,1830576,1830576,0.26,39.33,83.06%
APH,249191,2718788,0.56,21.18,171.88%
MSI,228665,2838291,0.47,33.1,183.83%
ADM,2519634,2519634,0.42,20.52,151.96%
BAC,2316358,2316358,0.39,32.05,131.64%
TECH,1829156,1829156,0.27,42.79,82.92%
DXC,3843699,3843699,0.48,32.07,284.37%
ADBE,650519,6635971,0.71,22.45,563.6%
STLD,333654,3269867,0.45,32.55,226.99%
CPRT,327756,5328743,0.62,39.75,432.87%
TDG,817352,9112646,0.78,37.55,811.26%
GNRC,6892876,6892876,0.51,46.3,589.29%
NOW,323565,3962783,0.55,33.08,296.28%
LLY,348849,4376673,0.65,27.03,337.67%
COST,416884,4512037,0.77,26.88,351.2%
ZBRA,4414749,4414749,0.7,36.23,341.47%
ACGL,219765,3805851,0.75,22.63,280.59%
MPC,437485,4527921,0.55,37.51,352.79%
BR,393829,4313656,0.59,21.86,331.37%
STX,3266573,3266573,0.39,32.0,226.66%
NOC,6552021,6552021,0.78,17.52,555.2%
NASDAQ,274095,2994563,0.63,14.78,199.46%
ABBV,1957798,1957798,0.38,26.35,95.78%
INTU,241528,2873858,0.42,32.78,187.39%
PAYC,2747725,2747725,0.47,40.67,174.77%
CMA,2275920,2275920,0.36,29.32,127.59%
CAT,200559,2398442,0.36,31.41,139.84%
ODFL,446954,5219072,0.56,40.27,421.91%
AMZN,461551,4918123,0.49,30.42,391.81%
CSGP,675585,7568146,0.62,28.99,656.81%
PWR,203556,2767683,0.4,29.57,176.77%
BBWI,3061340,3061340,0.4,46.87,206.13%
DXCM,794134,9360380,0.54,36.79,836.04%
TXN,317945,3062369,0.54,25.88,206.24%
VRSK,250573,2786973,0.58,30.64,178.7%
